[2026-05-16 08:00:00] USER: admin | ACTION: LOGIN | STATUS: SUCCESS
[2026-05-16 08:05:23] USER: admin | ACTION: INSERT_PATIENT | ID: PKU250006 | STATUS: SUCCESS
[2026-05-16 08:10:45] USER: admin | ACTION: BACKUP_DATA | STATUS: SUCCESS | LOCATION: data/backups/20260516_081045
[2026-05-16 12:31:29] USER: admin | ACTION: LOGIN | STATUS: SUCCESS
[2026-05-16 12:31:30] USER: admin | ACTION: LOGOUT | STATUS: SUCCESS
[2026-05-16 12:31:30] USER: SYSTEM | ACTION: LOGIN_FAILED | STATUS: FAILED
[2026-05-16 12:31:30] USER: SYSTEM | ACTION: LOGIN_FAILED | STATUS: FAILED
[2026-05-16 12:31:30] USER: SYSTEM | ACTION: LOGIN_FAILED | STATUS: FAILED
[2026-05-16 12:36:53] USER: admin | ACTION: LOGIN | STATUS: SUCCESS
[2026-05-16 13:13:43] USER: admin | ACTION: LOGIN | STATUS: SUCCESS
[2026-05-16 15:32:59] USER: admin | ACTION: LOGIN | STATUS: SUCCESS
[2026-05-16 15:34:43] USER: admin | ACTION: INSERT_PATIENT | STATUS: SUCCESS
[2026-05-16 15:35:53] USER: admin | ACTION: INSERT_PATIENT | STATUS: SUCCESS
[2026-05-16 19:16:57] USER: admin | ACTION: LOGIN | STATUS: SUCCESS
[2026-05-16 21:47:51] USER: admin | ACTION: LOGIN | STATUS: SUCCESS
[2026-05-16 21:50:51] USER: admin | ACTION: LOGIN | STATUS: SUCCESS
[2026-05-17 18:51:13] USER: admin | ACTION: LOGIN | STATUS: SUCCESS
[2026-05-17 18:51:30] USER: admin | ACTION: LOGIN | STATUS: SUCCESS
[2026-06-12 01:31:12] USER: admin | ACTION: LOGIN | STATUS: SUCCESS
[2026-06-12 01:40:22] USER: admin | ACTION: LOGIN | STATUS: SUCCESS
[2026-06-12 02:06:25] USER: admin | ACTION: LOGIN | STATUS: SUCCESS
[2026-06-12 16:04:56] USER: admin | ACTION: LOGIN | STATUS: SUCCESS
[2026-06-12 16:11:15] USER: admin | ACTION: LOGIN | STATUS: SUCCESS
[2026-06-12 16:14:08] USER: admin | ACTION: LOGIN | STATUS: SUCCESS
[2026-06-12 16:17:35] USER: admin | ACTION: LOGIN | STATUS: SUCCESS
[2026-06-13 11:26:32] USER: admin | ACTION: LOGIN | STATUS: SUCCESS
[2026-06-13 11:27:03] USER: admin | ACTION: INSERT_PATIENT | STATUS: SUCCESS
[2026-06-13 11:27:49] USER: admin | ACTION: INSERT_APPOINTMENT | STATUS: SUCCESS
